"T1","T2","T3","T4"
9.8,9,11.38,11.75
21.08,14.75,12.92,10.8
10.5,22.5,11.33,14.25
8,20.08,18.62,19.5
10.78,12.01,8.38,11.39
11,11,9.62,12.12
9,9,9,9
55.59,53,29.88,66.38
10.18,8.05,11.25,8.75
40.5,32.12,20,50
9,9,9.5,9.5
8.5,11,9.38,8.29
8.1,9,7.98,8.66
5.5,14.83,12.33,18.17
17,10.08,9.75,14
17,16.65,14.85,14.5
14,17,14,12.18
11,7.33,14.62,10.58
14.75,11.38,13.25,11.75
9.5,28,18.88,10.08
13,8,8.25,9.11
16.25,14.12,15.8,11.33
11.61,11.42,7.5,9
10.17,9.5,5.5,8.75
10.45,9.23,9.75,10.7
7.4,10,13.25,9.99
12.38,12,15,12
9,8,6.75,8.75
13.6,24,12.92,14.25
22.45,17,25.55,28.88
8.58,11.57,8.4,11.75
10,8,19.38,22
11,8,8.85,6.34
10,9,10,15.5
11,11,11.75,11.75
11.1,16.5,11,14.75
19.8,16,16,26.25
9.94,11,10.56,13.08
13,21.33,25,23.25
8,5.5,7.35,8.25
9.73,8.67,10.55,9.57
12,9,12.11,13.12
20.5,15.52,14.85,22.36
12.86,8.5,12.88,13.69
13.75,25.67,12.31,18.88
9.5,11,11.25,12.25
7.2,8,10.5,10.75
12.25,16.7,23.92,18.75
12,12,12,12
11,11,22.5,9.56
16,14.92,19.39,14.42
10.31,12.75,21.2,15.17
8.03,8.79,7.71,8.86
10.56,9.37,9.93,9.63
10,10.97,9.72,12.38
26.25,21.08,26.5,6
33.58,33.6,21.94,33.77
13.3,13.25,15.5,17.86
8,11.72,11.62,8.75
11,11.56,11.01,11.7
10.93,9.5,11.2,12.88
14.25,11.35,16,15
8,12,16.25,8.25
7.83,11.55,8,8.75
24,12,15,30
16.67,16.02,15.48,16.39
11,19,8.75,11.75
11,28,23.14,15.56
13.5,12,12,11.65
10.14,12,12,9
9.12,9.47,9,11.1
11,10.45,10.67,12
9.12,8,10.23,10.96
9.5,11,11.75,20.5
10,6.8,14.75,9.99
20.75,29.75,28.62,24
11,10.72,13.25,18.75
36.33,15.1,10.8,9.81
11,15.14,12.64,10.75
13.48,11.25,12,12.57
14,33.67,20.81,24.89
8.72,6.55,10.84,11.06
5.5,9.5,5.5,17.46
11,11,8.25,34.75
17.5,38.5,32.5,7.25
8,11,7.01,11.25
11,9.6,10.8,8.75
24.25,33,9.5,12.1
23.33,19,18,11
141.5,53.75,83.33,75.11
7.33,13.2,11.25,10.58
11.67,8,8.75,12.75
15.5,8.19,10,15.25
13.38,9,9,9.75
14,5.6,17,15.75
10,6.17,7.52,8.56
9.22,10.94,9,9
12.69,18.15,12.46,12.74
17.14,16,11.19,9.85
6.71,6.49,8.47,11.07
9,11,11,9
16.54,25.25,22.95,31.19
11,9,15.75,6
31.5,35,28.08,23
9,8.54,7.89,13.75
13.5,8.2,9.56,9.18
8,9.7,6.88,9.43
12.5,11,10.62,9.75
7.12,8,6.9,8.25
12,8,10.25,11.62
8,16,11.25,17.25
14,17.25,25,97.5
8,11,17,11.67
42,9,30,21
14,13.25,15.96,23.06
9.2,9.4,8.3,7.94
16.43,14,13.72,13.58
9,8.67,9.25,8.5
9,10,10,15.33
18.68,11.5,17.25,9.62
12.21,22.36,8.5,30
22,10.5,9.75,5.5
10.12,11.26,9.46,11.75
12.75,9,18.3,51.58
10.12,11.2,14.22,11.38
14.25,13.3,12.54,10.35
8,8,8.5,10
12.38,13.21,14.42,13.06
20.5,33.33,25.62,23.5
18.5,15.5,13.5,22.67
8.25,10.33,13.17,11.25
11,5.25,9.88,10.25
13.94,12.01,30.67,7.92
15.88,15,14.69,12.94
9.21,9.29,9,12.62
9.21,11,11,9.93
13.25,8.67,9.56,18.08
8,15.5,26.08,12.75
14,11.75,10,19
8.5,14.5,5.75,5.75
20.5,7.88,10.83,13.29
12,9,12,11.92
7.38,7.7,9.39,7.75
14,22,14.5,10
25.19,16,6.4,8
9.12,8.75,14,11.75
17,9.1,10.12,18.08
8.5,12.64,9,6.86
13.5,14.8,19.33,17.2
10.82,11,10.85,12.08
14.25,14.33,16.5,23.12
10.35,11.19,11.47,11.62
8.26,8.92,10.17,9.8
11,10.18,11.25,13
13.5,9,10.75,16.5
7.71,11.33,12.73,11.25
14.79,28.5,21.12,14.28
15.38,18.25,14.43,8.75
17.92,22,13.25,12.5
9.5,11,12.75,11.75
23.25,12.83,20.75,11.5
8,20,8.75,8.93
13.5,8.95,11.5,10.17
10.33,12,17.93,20.3
8,8,8.39,8.25
8.12,8.33,11.12,17.75
11.25,9.7,19.25,21.25
12,11,12,11.25
12,18,15.57,17.33
9,9,18.25,10
10.23,10.92,11.69,11.17
11,15,9.88,12.5
9.5,11,11,11.5
10.44,8.55,10,11.33
9,6.5,18,12
4.5,6,7.5,6
10,7.75,11.12,13.75
12.05,11.72,11.55,10.45
11.67,11.33,16.42,12.55
9.33,9.96,19.09,9.25
8.25,7.52,8.81,7.58
10.33,9,11.05,12.38
14.91,11.38,18.23,13.76
28.06,32.08,33.25,23.25
5.5,7.9,7.88,7.17
5.4,5.8,5.34,6.39
11,16,31.5,9.89
11,11,13.88,11.75
23.5,13.67,21.07,15.44
16,9.5,6,23
13.1,15,11.58,13.25
11.17,23.5,12.5,20.77
24,11,12.96,23.5
7.54,8.57,10.85,8.2
4.5,4.5,7.25,5.62
18,12.67,26.75,13.75
34,17,11.83,15
11,6.63,7,7.12
28.5,22,18,24.67
6.33,4.43,5.29,12.62
14.25,16.67,9,9
25.62,37.42,19.67,35.85
18.54,25,34,14.5
13.62,14,36.75,46.58
9.17,38.5,11.54,11.25
7.19,8.75,10.92,15.42
21,16.5,16,16.75
16.88,6.3,17.83,16.58
9,11,16.14,9.75
5.53,20,15,25.96
21.12,13.38,8,8.75
22,28.33,13.5,13.25
9.86,10.21,9.85,9.75
7.84,9.28,10.81,12.34
9,12.33,9,9
14.12,8,18.38,8.75
5.25,6,7.08,11.75
7,8.41,9.61,6.38
8.54,8.5,8.95,11.67
10.82,10.54,15.01,15.2
24.91,21.38,20.02,23.21
13.5,11,10.25,9.87
19.5,17.88,10.11,10
18.92,21.5,13.25,20.42
14.8,13,14.5,13.5
11,12.75,8.83,13.88
18.5,20.12,10,16.54
12.1,13,12.25,12
11,11,11.33,10.59
7.94,8.68,10.33,8.71
9.89,9.8,7.25,12.25
11.75,11.5,14.5,14.25
10.69,15.92,6.75,7.59
11,15,22.5,12.72
8,11.33,29.62,23.5
10,11.33,11.58,11.83
21.4,16,14.94,8.25
17.6,12,31.36,32.86
15.18,16.2,13.2,14.29
9,14,16.5,16.5
15.39,8.25,10.25,12.34
