"T1","T2","T3","T4"
10.68,9.96,8.47,9.81
8,19,26.06,16.4
12.33,18,9,10.5
11.34,6.62,6.92,4
8,7.17,13.65,9.75
6.8,7.19,7.72,10.43
8,32,15.56,12.28
9,10,9.42,9.12
9.33,13.5,12.5,8.75
11,11,11.12,11.25
19.41,22.23,17.58,12.21
11,22,11.25,16.25
11,13.94,13.17,15.75
10,9.48,10.25,8.19
6,10.25,9.38,11.5
12.75,9.75,26.12,14.5
9.2,18.58,16.12,14.5
10.4,8.54,8.5,10.75
23.83,39.92,37.38,45.62
8,15,8.28,10.05
10.33,13.12,19.35,10.25
10.9,8.23,10.43,9.53
9,9,9,9
11.25,14.44,10.28,9.75
21.5,19,15,16.88
9.33,19,19.75,14.66
10.8,8,6,8.75
6.75,15.5,10.25,7.44
9.43,11.22,10.55,8.96
11.67,9.38,10.1,12.71
11,9,7.58,7
15.75,16.85,14.43,14.81
16.5,15.06,15.58,19.11
10.29,11.21,12.06,9.43
11,25,10,12.75
8.03,6.79,6.05,6.21
8,14.12,9,11.83
6,6.33,6.33,6.68
8,7.38,14.88,10.75
17,32.5,21.06,8.75
20,14.72,18.88,21.43
9.01,9.45,10.42,11.44
12.33,16.67,15.71,12.66
14,13.86,12.3,12.21
11,11,6,9.32
11,8,6,12.75
9,6.33,5.5,9.25
11.15,8.47,10.32,12.92
9.79,10.5,13.88,7.83
16,7.5,8.59,6.56
12.63,14.59,15.48,16.67
32.5,24,8,46
8,9,9,5.5
8,7.88,11,14.31
8,8,9.42,8.25
20.5,17.3,23.21,25.38
13.5,14,16.25,10.38
7.9,11,14.25,8.9
8.53,10.18,8,11.75
8,13.75,6,11.62
9.5,11.44,24,10.12
11,11,11,11.75
11,11,11.68,12.75
6,6,6,6.75
8.84,10.28,10.7,11.75
8,7.67,9,8
11.5,7.14,14.17,11.71
30.92,23.53,34.94,28.5
15.33,10,9,9
10.62,9.5,8.94,9
11,9.5,10.79,11.25
11,10.59,11.62,11.08
19.8,16.33,21.29,19.58
11,11,10.25,11.75
9,9,9,9
19,10,10.83,7.33
13.25,16,12.5,12
17,13.76,10.78,12.68
9.79,11.03,13.59,10.41
11,12,12.68,16
10.1,10.92,8.38,11.92
19.5,3.5,13.61,15.25
8,21.5,22,16.31
8,8,16,15.5
24.23,11.7,8.92,9.38
8.4,10.83,12,9
7.76,7.2,8.17,8.25
18,9.75,9,20.5
15.14,11.21,8.83,10
9,15.67,12.25,10
10.67,8,8.75,9.75
7.52,8.94,5.4,13.5
14,11.88,14.5,7.5
17,14,17.62,48.5
8,17,12,25.75
17.92,16,19.11,14.39
11,6.25,11.38,10.25
9.5,14,10.08,16.75
31.12,26,16.5,19.31
9,9.75,10.25,10
14.4,16,7.88,21.5
16.43,13.93,14.83,10.7
8,8,8.12,11.92
12.5,10.75,12.92,3.5
9,3.5,7,8.5
7.69,8.95,8.27,8.75
10.53,10.67,9.91,9.42
10.59,10.25,10.2,12.05
8,9.5,8.38,12.5
8,9.02,10.21,9.99
16,8,8,10.94
39.35,62.92,27.12,34.5
18,39.75,32.5,13.3
16,10,10,13.75
13.9,19.58,15.35,18.11
5.97,6.72,7.03,6.86
6.25,11.33,13.58,9.38
6.4,11,14.75,15.75
11.78,16.88,12,12.18
9.3,11.17,14.5,14.5
11.5,15.08,11.46,14.31
23.6,20.98,24.02,26.88
11.56,14,9,12
14.06,9,8.5,17.5
14.75,9.75,21.05,25.33
8,9.33,9.65,9.12
10.67,9.17,10.66,7.44
4.46,5.86,6.32,6.64
11.75,8,10.75,10.75
9,9,9,9
7.15,8.02,9.09,7.65
10.25,8.33,13.31,9.25
9,9.5,10,15.75
7,8,28.75,11.5
11,10.72,10.52,12.25
13.91,5.33,13.25,11.33
17.67,11.5,15.83,9
11,11,11.17,10
22.21,20.68,17.95,21.35
9.12,8.5,7.58,6.75
8,9.75,9.62,10.25
18,20.67,31.19,13.33
19,11.5,8.5,13.28
12,7.75,7.23,7.81
8.75,11.43,11.44,9.64
9.5,11,11,21.25
10,10,9.5,10
13.5,12,12,21
12.62,7,15.5,11
40.33,33.29,37.55,28.05
17.2,16.94,21.42,27.5
15.25,23.58,20.58,18
22,27.5,31.83,31.12
19.91,22.81,19.65,15.75
17.25,12.25,14.83,14.33
9.75,14,17,15.44
9.25,10.5,10.62,10
36,33.72,32.21,22.94
14.23,17.58,15.25,19.92
5.4,6.3,10,6
7.38,6,26.25,27.75
13.33,14,13.5,6.75
10.67,14.8,18.55,19
10.6,9.62,15.56,13.46
8.15,7.19,8,9
8,8,10.72,9.88
14.33,18,10,9.88
8,8,9.75,8.45
13.2,9.35,11.75,11.75
10.67,19,8.75,8.75
8,8,15,16.07
10.5,13.25,12.5,11
10.07,6.5,7.42,12.62
13.5,9,10.5,9
10.6,12.38,10.62,11.19
33.5,21,14.12,25.25
9.5,8,8.25,8.25
13.5,16.93,14.5,24.5
9.83,6,24.5,15.75
11.58,12.26,16.51,12.57
10.67,8.91,9.78,4
13.61,13.85,8.5,12.88
12,9,10.42,10.5
13.38,11,12.78,16.75
9.75,10.5,13.33,6
8,30,18.05,22.95
10.2,12,12,10.67
10.21,9.96,11.46,10.67
11.4,14,9.29,14.75
8,6.4,14.38,8.75
10.2,4.5,5,7.12
10,10.75,11,9.75
11.5,10.5,7.5,14.3
50.75,49.7,52.3,58.88
7.4,9.26,8.17,30
13.43,13.5,16.84,10.61
17.88,13.25,16.33,14.75
11,9.45,11.75,11.25
6.25,6,6,6
12.67,13,12,12
10.27,16,19.12,11
46,32.41,40.06,30.86
11.42,12.71,10.75,12.89
12.85,11.05,14,13.6
19.8,26.33,20.56,26.42
4.95,5.05,8.03,5.92
19.5,15.5,14.12,15.01
7,6.54,6.66,6.74
15.63,23,9,9
14,13.67,11.96,17.11
9.94,8.71,8.32,8.61
11.25,8.5,10,4.56
18.5,17,10.42,10.5
7.75,20.5,20,6.5
18.13,3.75,13,15.67
16.89,14.58,14.97,11.75
23.97,25.17,20.75,15.5
7.57,11.26,10.83,10.5
28,11,9.65,10.07
30.8,22.25,19.38,26.62
14.67,14.33,10.62,19.75
8,22,10,16.67
11,10.7,10.81,11.25
12.83,11.58,9.4,11.19
8,15,9,12.75
10.52,10.48,11.3,11.67
9.35,11,8.12,9.8
24,24,24,24
10,8.5,8.99,13.17
24.56,17.13,17.86,20.14
12,10.5,11.5,11
8,13,8.75,8.75
8.4,10.5,9,16
12,12.22,11.31,13.67
6.8,6.8,24.38,7.44
9.64,9,9,10.17
26.05,22.25,11.62,23.75
8,8.89,8,14.09
6.85,9,7.33,21.75
11,20.38,11.09,16.4
22.4,28.07,24.35,18.64
19,5,9.38,22.33
18.3,12.12,15.12,13.4
11,9.35,4.68,14.09
14.69,9,9,11.75
14.5,15.36,14.29,15.15
11,21,16.42,16.25
11,11,8.17,11.75
14.18,11,14,8.75
19.59,19.78,10,32
18.25,12.5,11.14,11.28
10,13.7,6.5,12
12,7.88,8.5,7.25
11,8,11.75,11.75
8.5,9,23,6
15.9,12.72,25.5,18.19
11.5,11.75,8.12,10.75
10.58,6.88,10.56,5.62
8.15,9.11,10.16,11.75
10,5.5,12.75,7.75
25.12,16.67,11,16
7.5,8,10.25,9.25
14.67,11.49,12.37,9.02
38.82,27.74,36.75,35.61
11,11,17,19.58
9,15.75,39.33,27.5
13.25,25.83,19.45,16.38
10.3,11,15.5,8.75
11,11,13.75,15.75
11,11,11,10.87
11,11,11,10
8,14,8,8.75
16.5,10.84,6.5,10.2
27,15.2,18.23,15.2
4,12.33,8.03,0.75
8,8,10.5,9.54
9.77,21.35,20,11.26
4.67,8,1.5,10
11,13.2,11.5,10.75
25.8,12,12,24
11.88,12.15,11.61,14.39
8.9,8.88,10.62,7
14.25,22.5,13.5,15.38
12,8,16,18.9
14.33,8.42,9.91,18.88
15.8,12.25,11.83,8.75
11.78,14.18,13.36,17.89
33,15.5,50,15.75
11,11,15.1,11.08
16.42,22.5,29.25,18
17.44,18.33,22.23,28.12
10.95,14.7,12.33,12.1
11,14.25,10.67,13.25
13.75,17.17,16.35,22.4
13,10.62,8.47,9.13
19.47,18.23,26.43,16.86
8,6,11.15,14.27
7.33,10.66,8.22,8.75
11,13.34,11.02,9.92
9.14,7.08,7.75,7.65
9,11,8.6,9.75
10.08,10.17,16.62,12.56
12.55,17.29,15.9,13.17
11,12,8,31.88
6,18,4.7,12.19
32.5,42.75,24.5,23.88
18,17.03,16.64,17.98
23.59,15.38,32.25,20
11.42,10.9,11.46,10.95
33.25,15.15,24.75,25.5
12.25,8.5,19.56,12.42
9.22,8,9.75,10.31
26,12,8.25,8.75
9.5,14,12.69,10.06
10.91,11.88,11.76,12.65
13.28,11.66,12.02,21.25
13.22,13.8,12.33,11
10.59,8.2,12.11,13.33
14.67,13.92,19.12,21.12
11,18.5,18.5,20
24,10.91,14.4,12
8.78,9.16,9.65,9.56
11,14.67,23,23.5
11.6,12,13.4,10.75
16,16.75,11.61,10.79
30.5,29.63,32.75,23.5
14,11,19.54,29.14
9.33,6,7.75,11.94
16.75,13.5,12,25.67
10.4,9.59,10.09,9.88
8.5,4.67,13.9,8.22
21.02,21.96,22.95,28.54
8,8,8.4,8.75
14.25,8,8.75,21.25
33.5,27.75,25.48,29.1
18.25,11.6,13.27,11.67
15.33,15,23.75,14.64
12.67,10.7,18.25,11.25
11,11.28,11.17,12.65
11.07,12.08,22.41,15
12,12,10.87,10.75
13.25,10,7.55,17.58
9.67,8.6,10.3,8.88
7.83,16.25,8.62,22
12.67,11,13.25,10.69
12.82,12.89,11.79,11.07
13.25,5.5,9.33,11.96
6.78,7,7,6.3
4.5,11.75,8.75,8.5
19,14.5,18.54,17.54
13.11,8.84,12,7.75
10,11.18,14.17,45.12
6,15,4,11.33
9.75,12,12,10.25
10.6,11,8,11.75
11.11,10.68,8,11.25
16.3,12.8,14.05,15.27
8.67,11.75,8.75,3.33
17.67,17.75,16.35,18.4
11.25,9.87,7.31,9.25
8.45,9.91,8.85,10.12
13.85,16.5,12.46,13.8
14.65,32.55,19.71,29.95
5.5,11,6.5,6.5
11,11,9.06,8.25
11.58,9.2,18.75,10
16.32,12.88,9.88,10.91
15.45,13.44,15.58,15.58
25.68,19,24,11
8.75,9.96,11.75,9.86
5.5,5.36,10.5,8
12.75,15,13.08,7.12
16.58,18,9,11.25
18.69,11.83,19.23,18.89
19,16,16,16
11.12,11.6,11.86,12.07
11.44,11.13,9.65,7.46
15.17,13.01,15.04,11.75
9.62,9.62,8,14.75
9,6.5,6,9.14
17.5,14.88,25.5,7.42
36.81,13.5,23.43,17.83
19.17,21.88,21.17,21.58
26.5,24.5,18,18.25
16,9,8.5,8.5
13.17,16.92,23.68,15.75
13.55,23.5,18.44,23.5
7.58,11.62,6.5,12.25
11.75,9,9.5,8.38
10,16,16,9
16.22,11.5,12.73,12.23
18.77,13.18,6.5,23.17
19.18,26.4,36.39,23.78
8,8,11.88,11.42
15.45,16.09,10.29,12.75
42.25,41.5,43.5,29.62
11,11,11.75,9.75
28,10.58,11.85,13.75
11.94,10.62,13.54,12.58
11,13.75,11.75,11.75
30.67,17.14,19.88,17.25
14.43,15.18,14.28,14.73
7.25,9.12,18.58,19
17.33,22,16,21.33
25,9,9.45,9.75
10.14,16,21.38,12
15.1,18.25,25,18.75
7.84,7.69,5,6.88
9.83,8.12,24.5,10.2
10,15,11.25,16
31,10.25,26.12,21.42
15.25,12.25,11,21.6
8,8.12,13.51,10.88
6,8.8,10,7.83
11,14,33.25,8.75
4.5,4.5,5.5,5.5
4.88,5.38,8,4.5
47.83,20,33.75,26
12,15,11,12
8,7.76,8.75,6.24
9.7,10.5,9,12
10.67,9.5,11.7,12.5
8,19.33,17.75,9.12
10.33,18.25,11.38,18.58
11.33,11,11.25,11.25
10.18,12.14,9.12,13.12
8,8,8.75,8.75
11.05,12.69,12.31,11.25
11,15.83,9.12,8.75
20,7.5,5,4
14.75,11,22.5,10.33
8,7.2,8.25,8.75
12,10.18,14.45,8.85
11,13,10.06,8.64
11,9.8,11.75,9.38
11.13,10.71,10,10.36
10.29,12.5,12.72,12.07
11.38,14.75,15.12,10.5
8.58,12.2,14.65,8.25
13.1,13.67,17,12.75
13.41,10.25,14.25,14.81
11.11,12.15,12.5,14.14
9.74,8.12,6.05,6.78
9.48,9.58,14.09,8.93
11,10,11.25,12.75
15.33,9.5,11.65,13.19
7.38,8,8.75,10.25
17.37,13.35,24.58,12.88
11.5,15.33,11,8.31
11,9,14.83,9.84
12.38,10.1,8.62,9
7.38,12.25,12.17,15.25
9.5,10,10,10
8.1,9.38,11.33,8.5
12,13.42,13.6,11.41
21.75,16,22.62,16.75
45.75,29.5,40.78,57.32
11.3,11.96,10.83,11.43
19.28,18.12,22,18.39
25,23,18.36,19.48
15.33,8,7.5,21.94
15.38,20.58,14,4.37
8.1,8.1,8.1,12.8
11,47,14.61,28.75
14.75,15.51,13.05,14.4
10.38,6,8.62,6
11,12.5,11.38,11.75
12,14.25,21,11.5
16.5,8.5,10.48,11.75
12,16.5,19,18.83
15.2,16.25,11.96,12.5
9,12,12.67,11.75
11,12,11.7,24.81
8,51.42,8.75,13.88
14,15.5,15.25,19.5
12.33,14.2,22.31,12.45
11,5.38,9.07,10
20.43,16.21,19.75,17.75
13,7.46,13.17,18.88
5.25,6.33,5.09,6.5
11.3,11.33,14.1,11.75
8.47,8.83,10.5,8.78
11,10.67,11,19.98
10.45,11.69,8.33,12.25
13.15,11.94,7,9.25
12,16,10,9
12,12,12,14.65
7.47,9.32,9.2,9.89
13.95,6,10.67,9.75
16.5,24,24,26
17,40.5,40,11.75
25,21.25,29.1,25.96
16,23.75,33,17.38
13.9,12.75,10.75,11.12
11,8,10,8.75
10.58,9.7,10.5,16.88
16.26,24.63,15.05,32.4
11,9,10.91,9.37
7.6,8,8.38,8.75
8,8,7.01,20.88
22.18,18.25,16.76,18.48
12.5,16,17.75,18.58
9,7.38,11.92,19.75
11.55,8.21,8.92,12.85
14.33,9.75,9.67,19.38
16,15,10.12,12.75
11,10.59,10.56,17.44
11,11,9.42,11.25
11.38,11.5,12,13.25
14,8,8.08,8.25
8,8,13.38,26
12.38,8.29,9.22,21.25
16.5,5.5,5.5,20
19.83,28.33,16.89,33.75
14.67,10,11.05,9.03
18.1,20.3,21.91,18.69
10,6,20.88,11.75
16.67,18.71,21.35,19.73
8.7,17,4.5,30.75
11,11,15,19.75
8,10,8.75,8.75
31.79,26.06,14.3,25.36
12.67,15,12.32,10.42
11.84,13.7,7.88,11.04
9.05,8.71,15.08,8.72
21.25,14.17,21.75,17.5
10.08,18,15.79,16.11
13.5,6,6,14
12,11.57,12.1,12
22.67,10,32.5,18.55
9.83,8.29,10.28,7.99
9.75,9.67,9.33,9.17
7.83,9.89,10.97,10.81
10.04,10.17,11.75,12.75
10.67,7.6,11.75,7.25
8,9.5,9.83,8.75
11.78,8.11,10.75,9.25
10.46,9.75,11.91,8.48
9.61,14,18.83,10.5
11.17,9.5,11.75,17.42
31.25,27.54,30.83,33.37
10.66,14.75,11.94,11.12
7.2,56.35,12.96,8.45
9,7,32.75,32.5
14,20.31,12.25,7.94
13.27,13.7,13,19.69
15.25,15.67,15.18,8.94
10.59,11,7,9.67
9.94,8,13.5,11.25
13.31,16.3,15.1,15.23
8,11.5,18.25,11.85
7.33,8,9.38,9.5
12,11.4,18,12
18.83,15.92,16.05,8.88
11.4,12.14,12,12.25
5.73,9,11.65,10.17
8.25,7.88,8.5,8.75
8,11,13.5,10.25
7.17,10,13.72,9.19
7.5,9,19.58,10.75
12.22,10.8,11.57,12.43
12.57,13.17,17.2,13
8,9,9,14.75
12.5,9.5,10,8.25
8,11.89,13.06,11.11
13.64,15.12,13.41,15.81
10,10.62,15.75,8.25
9.5,6.8,11.42,10.75
9,9,13.5,9
13.62,17.79,18.84,14.53
6,5.75,10.72,9
27.31,24,13.12,16
12.5,10.66,10.33,13.6
9.28,11.48,10.25,10.82
4.17,8.8,10,3.58
9.67,13.81,13.25,12
6.25,5.88,7.56,4.68
9.33,12,19.29,17.81
12,18,9,9
10.22,11,7.25,12.15
12,12,12,12
15,12.75,13.25,10.83
9.35,11,8.25,11.42
11.33,8.75,14.5,23.88
10.36,21.25,9.54,11.07
8,17,8.75,15.5
8,5.5,9.05,16.38
3.2,12.5,35.44,33.88
10,10,21.75,4.5
13.29,12,12,12
6.25,9.5,11.75,9.38
11.5,4,4,10
11,15.25,14.7,13.21
8.25,9.45,10.2,11.22
10.5,11,11.5,11.17
11.25,11.08,11.12,11.8
14.62,16.42,15.21,18.99
9,11,10.8,12
9.85,9,8.25,9.46
38.5,23.75,28.82,39
8.7,8.33,7.8,10.67
9,8.88,10,16.08
16.5,20.75,15.92,20.33
12,13.5,16.75,12.25
6.78,4.29,4.77,6.15
10.33,9.85,12.08,10.43
7.62,11.62,15.64,16.85
13.73,12.82,14.2,11.62
16.25,8.6,22.73,23.71
13.17,9.38,9.25,10.14
13.8,9.5,10,9.67
11.61,10.71,12.12,8.5
13.08,10.25,14.25,19
11.75,16,8.75,16.48
12.02,13.22,13.02,19.25
6,7.38,15.44,7.75
9,9,10.5,10.06
9.25,8,8,9.19
8.8,11,10.77,11.75
8,6.75,6.62,9.25
6.8,10.18,6.38,7.53
9,10.38,6.81,10
19,14.55,13.19,7.25
12.54,9.86,10.11,5.24
7.4,8,7.85,8.5
11,12.12,22,5.5
11.75,26.33,23,24.25
9.9,8.22,10.71,8.46
16.32,16.66,33.81,27.06
27.06,14.4,29.5,53.75
22,19,7,17.75
11,11,9.77,11.25
13.36,14.55,15.07,18.6
9.12,16.25,8.17,10
4.28,6,7.43,6.74
21.38,16.09,18.84,10
11.71,26.3,28.4,16.88
12,9.2,8.75,13.75
22.5,16.67,37.5,27.75
8.67,10,15.88,17.25
11,8,24.77,20.24
20.5,14,10.38,17
11,8.25,16.5,13.64
9,9,10.38,11.56
9.4,12.35,11.37,10.64
33,31.33,32.25,35.1
9,13.08,13.52,13.79
10.56,12,12,11.97
9,8.28,9.53,8.54
9,11.33,11.25,11.02
11,11,9.99,8.25
9.6,5.5,7.92,5.5
7.7,8,10.92,10
12.75,45.5,6,31
9.95,6.05,10.76,8.99
14.5,12,13.25,10.4
14.38,21.75,18,48
17.82,7.38,8,27
9.75,10,10,10
4.5,11,8,7.25
4.29,14.5,11.5,15.5
11.44,12.62,9.7,11.5
9,14.17,12.75,9.75
66.96,40.42,58.19,67.47
14,10,12.12,13.56
5,5,5.33,7
20.65,13.33,10.81,12.64
11.18,13.04,12.75,17.35
16,14.7,16.5,16.55
11,11,9.91,11.04
11,11,11.75,11.25
14.25,15,9.5,10.32
11,22,11,11.75
15,11.92,13.75,11.94
8,8,10.6,9.5
23.85,15.29,19.67,47.69
19.12,9,24,50.27
10.25,12.2,10.84,11.75
5,11.5,20.88,16.5
11.88,11.5,12.34,10.75
17.43,12,15.58,13.84
16.79,14.78,22.02,3
18.8,12.7,17.25,24.06
11.69,9.35,8.47,8.1
9,9,13.88,9.25
12,18.33,12.88,15.6
8,14,8,8.25
12,14.75,24,23.5
11.87,10.3,10.58,11.29
17,16.15,14.75,24
12.54,16.43,12.15,9.31
10.49,7.42,7.17,12
12.5,12.67,13,12.67
9.5,8.57,8.75,11.39
21,8.06,12,28.12
10.5,4.46,5,5.5
7.19,7.25,11.4,15.33
11,11,11.75,12.75
27.62,42.88,52,22.95
9.61,12.33,12.45,11.17
9.67,11,8.25,8.75
18,9,9.55,14
10.14,20.88,13.5,13.08
12,18.5,12,12
9.58,10,9.61,13.75
8,8,14.75,8.75
16,17.5,21.25,11.12
8.04,7.8,8.05,9.69
11,8.07,10.55,11.25
11.58,12.54,14.48,14.28
9.78,20.67,16.2,15
9.33,8,9.75,6.75
15.33,23.9,25.62,11.67
11.5,20.5,10.5,15
8.37,7.97,12.25,13.95
9,19,15.67,11.25
4.54,6.73,6.33,4.97
12.5,8.75,9.67,12.5
15,11,14.12,16.59
26.2,7.75,78.08,46.75
8,11,11.94,10.92
12.25,12,15.29,16.75
21.5,25.33,24.58,19.2
10,12.67,22.2,29.5
11.59,17.25,5.62,19.75
8,8.11,8.25,8.75
10.61,13.38,12,15
11.1,8,15.21,11.62
11,14,12.83,6.5
9.7,11.02,12.17,14.38
14.71,6.67,19.04,8.06
10.68,26.25,22.69,18.67
39,38.62,69.88,25.5
15.25,12,10.75,17.42
17.56,13.86,18.29,13.73
11,11,14.5,14.75
14.81,13,18.86,19.43
10.5,9,9,24
10.67,14,9.75,11.75
10.25,9,9.25,10
13.86,5.88,14.38,12.5
21.33,13.5,19,17
24.09,24.66,28.5,26.47
6.55,8.65,9.75,13.38
14,8.67,8.5,14.12
9,9.38,8.43,10.35
10.53,12,18.1,10.38
11.07,12.9,7.06,12.25
13.75,9,13,18.25
12,12,12.62,29.75
13.03,7.67,10,13.5
10.22,13.49,10,13.25
12.7,14.5,11,12
7.33,8,11.81,11.87
4.5,7.78,8.57,10
22.08,23.44,16.62,10
26.42,28.25,29.5,46.25
6.91,7.73,7.12,7.67
13.65,18.75,13.25,16.23
11.4,8.63,12.44,9.69
13.19,18.1,21.02,9
10,11,13.5,10.8
8,8.12,8.86,10.64
8.75,2.5,3.5,9
10.98,11.7,8.75,12.05
7.02,8.67,7.96,9.63
7.67,10.5,6,6
17.1,13.94,15.63,15.88
21.59,15.57,18.97,20.86
11.15,12.8,11.5,17.25
11,11,12,12.81
12.43,16.5,15,16.6
